,X0,X1,X2,X3
0,0.60447,2.47595,-0.0350319,2.12455
1,0.597436,2.2374,-8.51656e-05,2.01916
2,0.565834,2.42529,-0.213103,1.94926
3,0.268949,2.60465,-0.103288,1.98906
4,0.580395,2.04664,0.152484,2.13056
5,-0.176554,2.03234,0.235715,2.3739
6,0.501566,2.70593,-0.516936,1.92362
7,0.684851,2.19255,-0.229948,2.15302
8,-0.0879192,2.38626,-0.104195,2.38786
9,-0.346103,2.70282,-0.0364228,2.48538
10,0.168997,2.2256,-0.0417946,2.13332
11,0.55858,2.26137,0.143374,2.13722
12,0.531821,2.20408,0.179022,2.21841
13,0.277379,2.28253,-0.116316,2.13429
14,0.625977,2.39213,-0.0197103,1.95052
15,-0.0578492,2.37959,-0.161174,2.21053
16,0.476051,2.43896,0.00290099,2.15797
17,0.339537,2.22552,0.00296997,2.09372
18,0.602598,2.1738,-0.167484,2.19202
19,1.05925,2.21767,0.0220444,2.00475
20,-0.345646,2.51553,0.144212,2.12799
21,0.663324,2.04457,-0.214603,2.19992
22,0.498384,2.02549,-0.0338287,2.25411
23,0.370243,2.44177,-0.0356757,2.29793
24,0.363494,1.93153,0.122571,1.88788
25,-0.173208,2.88364,-0.097871,2.24316
26,0.951608,1.6182,0.0342313,1.7018
27,0.0829524,2.57812,-0.160558,2.30911
28,0.761682,2.01652,-0.0759959,1.87931
29,-0.211252,2.67933,0.093288,2.20204
30,0.653128,2.07297,-0.0744206,2.25887
31,0.709747,2.00899,-0.17618,2.14404
32,-0.0483887,2.02263,0.354845,2.46753
33,-0.17808,2.19376,0.293952,2.39023
34,0.868174,2.45671,-0.133811,1.92249
35,0.770659,1.92229,-0.00197071,2.00617
36,0.801944,2.02413,-0.15086,2.05888
37,1.04744,2.56151,-0.104958,1.86422
38,0.0464204,1.89041,0.223104,2.37453
39,0.400696,2.24243,-0.019135,2.25683
40,0.230387,2.09338,-0.353702,2.19228
41,0.377247,2.24281,0.330598,2.22012
42,0.531834,2.02557,0.196707,2.15128
43,0.276942,1.80402,0.243244,2.05529
44,0.201452,2.24686,0.16197,2.40049
45,0.0107129,2.12743,0.178383,2.36311
46,0.132048,2.0747,0.0931383,2.19647
47,-0.0942934,2.2757,0.251144,2.03599
48,0.888161,2.22385,-0.323671,2.09663
49,0.25857,2.48117,-0.430366,2.10462
50,0.978004,2.14672,-0.0190833,1.97918
51,0.64685,2.39832,-0.428804,2.03034
52,0.52449,2.58061,-0.255719,1.94795
53,0.334347,2.3383,0.0615934,1.83337
54,1.0972,2.23404,-0.390547,1.98121
55,0.0493037,2.34295,0.0999556,1.90488
56,1.14098,2.34207,-0.127212,1.90602
57,0.164465,2.71163,-0.151995,2.18364
58,0.128773,2.76283,-0.0880864,2.02272
59,0.481511,2.14669,0.346213,2.07019
60,0.614275,2.21837,0.154876,2.0181
61,0.234185,2.46188,-0.150682,2.14578
62,0.473334,2.45256,-0.262835,1.97127
63,0.442997,2.42299,-0.230259,1.9276
64,-0.222428,2.13967,0.237245,2.37346
65,0.514228,2.02808,0.0951774,1.83018
66,0.453084,2.1941,-0.169598,2.13629
67,0.163377,2.55646,-0.0821405,2.1465
68,0.0734164,2.23182,0.168773,2.20348
69,-0.412745,2.26289,-0.171697,2.62637
70,1.28682,2.22352,-0.110828,1.74053
71,0.710944,2.29176,-0.259444,1.94118
72,0.334281,2.33984,-0.107249,2.25999
73,0.264456,2.30831,-0.086378,2.24645
74,0.369086,2.0604,-0.143034,2.32343
75,0.20893,2.29456,-0.138582,2.22861
76,0.323607,2.2385,0.10257,2.32971
77,0.42454,2.14592,0.24603,2.11009
78,0.602286,2.21053,0.00404889,1.99305
79,0.475172,2.58424,-0.231935,1.76333
80,0.676201,2.32479,-0.403397,2.0179
81,0.367279,2.40374,0.101279,2.07375
82,0.155634,2.31004,-0.0992933,2.23934
83,0.818495,2.33399,-0.120946,1.69513
84,0.792369,2.2884,-0.185343,1.68829
85,-0.0411481,1.99104,0.0475583,2.38
86,0.374014,1.88012,0.230444,2.50498
87,0.62992,2.51614,-0.0485498,2.127
88,0.631525,1.93822,-0.164262,2.49683
89,-0.00929033,2.30642,0.0729099,2.22257
90,0.65389,2.46103,-0.102038,1.75108
91,0.876974,2.185,-0.0764362,1.82028
92,0.914252,2.0425,-0.123339,1.83778
93,0.525227,2.56931,-0.145292,2.01144
94,0.698074,2.23644,-0.195673,1.7422
95,0.895833,2.17179,-0.298006,1.95374
96,-0.285514,2.37759,0.170578,2.17879
97,0.57261,2.36334,0.0128323,2.11069
98,-0.00552759,2.40633,0.0833092,2.31107
99,-0.0774814,2.37674,0.0639677,2.28671
100,0.960285,1.84422,-0.0512922,2.27302
101,0.475583,2.46826,0.176774,2.21358
102,0.493617,2.27521,-0.229391,1.81587
103,0.603006,2.48193,-0.171978,1.77296
104,-0.368484,2.43846,0.114248,2.5972
105,-0.606084,2.26267,0.172726,2.76582
106,-0.162047,2.28646,0.0624793,2.28944
107,-1.08916,2.02608,0.355498,2.71158
108,-0.113454,2.27808,0.0822797,2.31429
109,0.153982,2.09815,0.116682,2.17825
110,0.245626,2.06732,0.0533295,2.18514
111,0.41031,2.01077,0.143505,2.17451
112,0.579718,2.46095,-0.0742254,2.03654
113,0.30607,2.39721,0.219787,1.96373
114,-0.0233787,2.19519,0.33353,1.96551
115,0.67842,2.37475,-0.38736,2.10399
116,0.0698655,1.7388,0.0798333,2.48945
117,-0.0289982,1.77149,0.100818,2.44442
118,0.230143,2.41452,-0.0539607,2.05207
119,0.0261924,1.96957,0.00370127,2.63383
120,0.166633,2.34182,0.112997,1.95411
121,0.667807,2.28279,0.037945,2.10775
122,0.402045,2.29861,0.0248515,2.1222
123,0.214695,2.34756,0.13322,2.2249
124,0.59137,2.08707,0.0368048,1.84738
125,0.658278,2.42861,-0.107672,1.88503
126,0.488583,2.17974,-0.053697,2.05399
127,-0.194662,2.56245,0.0788979,2.20967
128,-0.103216,2.62906,0.0679028,2.17194
129,0.59073,2.02268,-0.0488351,2.08901
130,-0.0401635,2.34726,-0.0600091,2.32551
131,0.227072,2.08136,0.235866,2.0788
132,-0.117544,2.32151,-0.0445034,2.42634
133,0.868,2.18146,-0.149652,1.68421
134,0.936497,2.15541,-0.173774,1.62906
135,0.438687,2.45776,-0.497145,2.13684
136,0.415836,2.67447,-0.11464,1.98606
137,0.531575,2.19839,0.0997724,1.9605
138,0.484361,2.66496,-0.0790974,1.86918
139,0.633013,2.10408,-0.0923834,2.12617
140,0.45385,2.39844,-0.0483318,2.02217
141,0.306985,2.20485,-0.0232381,2.36134
142,0.507275,1.99059,0.0261422,2.14676
143,0.667921,2.33394,-0.0582193,2.00536
144,0.388487,2.42551,-0.147779,2.29348
145,0.225841,2.4912,-0.0190988,2.16621
146,0.043025,2.4306,-0.115274,2.30197
147,1.00375,2.31121,-0.0145652,1.67762
148,0.0165507,2.44313,-0.143348,2.27226
149,0.0809604,2.65874,-0.400849,2.32057
150,0.225976,2.49463,-0.183335,2.19927
151,0.137358,2.24617,0.177653,2.31576
152,0.971067,2.62708,-0.35132,2.03446
153,-0.337533,2.00867,0.31762,2.45889
154,1.04792,2.12746,-0.0227585,1.9143
155,-0.0388945,2.12456,0.413322,2.56358
156,-0.325145,2.22746,0.0672645,2.11133
157,-0.0511209,2.28346,0.144582,2.00542
158,0.733068,1.97523,-0.128207,2.33309
159,-0.67365,2.2392,0.19176,2.54169
160,0.964607,2.18656,-0.167324,1.63513
161,0.945176,2.22822,-0.121491,1.62675
162,0.985937,2.07336,-0.218822,1.71674
163,0.139032,2.41539,0.371374,2.28391
164,-0.065967,2.12747,0.10482,2.33131
165,0.161689,2.32707,0.20466,1.98481
166,0.619788,2.3994,-0.434606,2.03781
167,0.0380493,2.39266,0.320504,2.49992
168,0.141452,2.34527,0.145236,1.97511
169,0.40448,2.45312,-0.237994,2.14387
170,0.341182,2.32922,0.0361191,2.11207
171,-0.167605,2.29776,-0.0112081,2.62659
172,0.0538324,2.47408,-0.276294,2.12638
173,0.151687,2.33471,-0.239905,1.97807
174,-0.147839,2.1111,0.108055,2.37784
175,0.610532,2.18621,-0.23375,1.98502
176,0.277899,2.03513,0.112971,2.45357
177,0.250773,2.78946,-0.287174,1.7464
178,0.909894,2.09472,0.0479234,1.7512
179,0.888169,2.34794,-0.122531,1.87274
180,-0.623144,1.86504,0.153682,2.77956
181,-0.634996,2.6728,0.22024,2.15518
182,0.468513,2.31405,-0.294911,2.09462
183,0.791586,1.97002,0.28041,1.76136
184,0.656073,2.31359,0.227937,2.03859
185,0.424771,2.19259,0.129249,1.90285
186,0.246904,2.63915,-0.128856,2.18331
187,0.818351,2.3239,0.234478,1.82587
188,0.1321,2.46442,0.168118,2.09669
189,0.333176,1.96035,-0.0553826,2.24109
190,0.818692,2.19236,-0.0932479,1.96311
191,0.18275,2.30206,0.0560302,2.20618
192,0.440356,2.15529,-0.0958972,2.02039
193,0.536068,2.05023,0.106293,2.26428
194,-0.0426307,2.42013,0.0491504,2.39473
195,-0.0424721,2.44772,0.0730613,2.33302
196,0.763441,1.80128,-0.132065,2.07483
197,0.300285,2.05612,0.162749,2.11089
198,0.234178,2.26857,-0.0657125,2.20201
199,0.618419,2.46238,-0.108016,2.0629
200,0.78243,2.23514,-0.424743,2.37758
201,0.159853,2.45448,0.241826,1.75229
202,0.305267,2.12176,-0.285963,2.13548
203,0.979474,2.43526,0.00225999,1.63123
204,0.39227,2.1468,0.0741949,1.96184
205,0.416628,2.21491,0.0748159,1.85864
206,1.38392,2.11663,-0.107058,2.07525
207,-0.055141,2.50507,0.00199502,1.82855
208,0.025612,1.99783,-0.0950866,2.47593
209,0.629375,2.32686,-0.301882,1.6923
210,0.611423,2.48376,-0.256636,1.73463
211,0.169175,2.21324,-0.223063,2.1656
212,0.499634,2.41574,0.0824792,1.9261
213,-0.30114,2.03635,-0.0464071,2.62026
214,0.546172,2.47606,0.0449279,1.38623
215,0.204021,1.91955,0.150107,2.43806
216,0.469305,2.32712,-0.16632,1.96689
217,0.466826,2.20849,-0.187859,2.22813
218,0.819722,2.00641,-0.289929,1.99273
219,0.74485,1.94358,-0.249437,2.10922
220,0.743204,2.27292,-0.164754,1.99271
221,0.342501,2.2609,0.163888,2.20972
222,0.273025,2.0606,-0.0620551,2.36393
223,-0.0888392,2.39101,-0.0637551,2.34832
224,0.252657,2.33996,0.0993996,2.08595
225,0.235563,2.41723,-0.0625689,2.33229
226,0.420309,1.97465,-0.142043,2.08635
227,0.220031,2.51008,-0.0551809,2.06018
228,-0.134674,2.13303,0.0500184,2.32405
229,1.15347,2.41856,0.0146238,1.5345
230,0.0705146,1.75685,-0.0157674,2.64681
231,0.898408,2.71653,-0.134176,1.61493
232,0.421408,2.2848,-0.0348971,1.91973
233,0.677823,2.05601,-0.0356263,2.20957
234,0.0989151,2.35325,-0.106537,2.12211
235,0.131587,2.39956,0.0279203,1.98141
236,0.79197,2.26127,-0.0750086,1.92561
237,1.21384,2.03466,0.0260241,1.88902
238,0.342039,2.5069,-0.0187549,2.14788
239,0.27867,2.26066,-0.0286064,2.15542
240,0.175815,2.20664,-0.0237395,2.03378
241,0.0764465,2.50874,-0.128787,2.0293
242,0.425947,1.98735,0.00558344,2.41587
243,0.415194,1.98351,-0.0442314,2.35928
244,0.553015,2.36438,0.115253,1.92329
245,0.102784,2.19727,0.072077,2.14482
246,0.0560364,2.4222,0.175861,1.97009
247,-0.144294,2.55647,0.103336,2.05412
248,0.344656,2.17202,-0.10462,1.99549
249,0.88751,2.53391,-0.302928,1.96726
250,0.367704,2.59441,0.052253,2.0218
251,0.457507,2.19296,0.0102783,2.20443
252,0.340705,2.46453,0.235797,2.19507
253,0.0671505,2.32277,0.0517353,2.26689
254,0.691854,2.45592,0.0452768,1.80607
255,0.807725,2.35277,0.0302047,1.73796
256,0.662344,2.2633,-0.133616,1.87756
257,0.83664,2.28035,-0.0130529,1.87469
258,1.0264,2.21511,-0.0264501,2.16696
259,0.735093,2.33421,0.0955999,2.00653
260,1.52068,2.2225,0.0632814,1.67993
261,1.3609,2.44697,-0.256144,1.59587
262,1.4784,2.51388,-0.286202,1.64121
263,-0.0029402,2.2355,-0.00857049,2.39881
264,0.0728749,2.53475,0.160653,2.05179
265,0.901461,2.05342,-0.159022,1.94682
266,0.15567,2.50329,0.0732217,2.29314
267,0.842728,2.26715,-0.00129892,1.95996
268,-0.548974,2.47844,-0.0727051,2.6007
269,1.27293,1.89711,-0.0133836,1.93758
270,0.564348,2.05363,0.031346,2.42045
271,0.216041,1.85727,0.279059,2.33825
272,0.37951,2.40591,-0.293017,1.88277
273,0.313352,2.28622,-0.0212086,1.97629
274,0.513202,2.32731,-0.0690425,2.06937
275,0.243512,2.3856,-0.0711257,2.15267
276,-0.0523941,2.40649,0.0656828,2.24455
277,0.54291,2.38203,-0.117142,1.85283
278,0.653735,2.1825,0.159214,1.87024
279,0.142449,2.36107,0.0156093,2.08504
280,0.0192548,2.45617,0.185346,2.18323
281,-0.0287619,2.36795,0.0404832,2.43571
282,1.39298,2.08282,-0.246269,1.81291
283,-0.348492,2.49381,0.219244,2.27021
284,-0.352138,2.41624,0.0995797,2.37473
285,-0.114834,2.60162,-0.156586,2.52032
286,0.148218,2.2213,0.321632,2.24351
287,0.749426,2.28591,-0.129127,2.03574
288,0.0608159,2.31379,0.0113481,2.15594
289,0.174214,2.08518,-0.125026,2.14976
290,0.173511,2.01817,0.106933,2.16298
291,0.382217,2.37949,-0.192151,2.16002
292,-0.0871282,2.16468,-0.214601,2.3639
293,-0.098196,2.14374,0.375683,2.42548
294,0.677253,2.36458,-0.290459,2.11187
295,0.536519,2.30913,0.254778,1.70501
296,0.622525,2.23973,-0.312948,2.17097
297,0.533578,2.32089,-0.149942,1.92379
298,0.132945,2.68267,-0.231587,2.36582
299,0.76978,2.3822,-0.238286,1.9543
300,-0.165861,2.42291,0.130107,1.90983
301,-0.138264,2.3002,0.123291,2.06268
302,0.444049,2.06909,-0.233092,2.34712
303,0.390126,2.47338,-0.261757,1.83955
304,0.842287,2.07503,-0.130804,1.92214
305,0.0672069,2.67594,-0.187751,2.14232
306,0.2293,2.4676,0.145134,2.11633
307,0.701726,2.16475,-0.254192,2.06211
308,-0.0885798,2.17901,0.297719,2.21176
309,-0.143759,2.03015,0.360576,2.20486
310,0.0499139,2.02025,-0.190815,2.26746
311,0.517647,1.85547,0.207593,2.28162
312,0.506141,1.92897,0.0664048,2.25112
313,0.605772,1.92773,0.167086,2.14255
314,0.0137541,2.4268,0.0256127,2.29122
315,0.0515532,2.40222,-0.0752528,2.43148
316,0.782279,2.25253,0.0329367,1.82172
317,0.834372,2.22528,-0.0389622,1.84423
318,1.01586,2.00384,-0.118334,1.86924
319,0.854463,2.16934,0.0793924,1.97426
320,0.167914,2.06346,-0.00612594,2.18151
321,0.355442,2.56537,0.034336,2.13935
322,0.326201,2.16986,0.134053,2.18378
323,1.04283,2.30776,-0.248682,1.92723
324,0.258475,2.07548,-0.0899939,2.33179
325,0.661726,2.40908,-0.22622,2.03196
326,0.380278,2.56235,-0.0729462,2.08468
327,0.473079,1.82734,-0.0138367,2.45515
328,0.308579,1.96227,-0.0430769,2.40134
329,-0.261832,2.21508,0.0665422,2.0689
330,-0.0882983,2.35568,0.111022,1.99535
331,0.0389447,2.40066,0.0909997,1.93328
332,0.066768,2.22052,0.0137019,2.16041
333,0.3921,2.08993,-0.103088,2.10256
334,0.952086,2.50668,0.0895286,1.87895
335,0.519699,2.462,-0.0662707,2.11049
336,0.823182,2.22504,-0.202417,2.00056
337,0.620269,2.27962,-0.136441,2.03715
338,1.50278,2.21489,0.12254,1.81257
339,0.684368,2.44269,-0.157579,2.20467
340,0.257345,2.02931,0.0738453,2.24256
341,0.325021,2.38955,0.113599,2.01653
342,0.156643,2.51016,-0.107232,2.15886
343,0.656949,2.35264,0.0724196,2.05285
344,0.364978,1.89237,-0.12706,2.08943
345,-0.249766,2.29243,-0.275025,2.53625
346,0.385537,2.28368,-0.0970232,2.00244
347,0.6348,1.93763,-0.129065,2.0864
348,0.191809,2.55416,-0.017098,2.20422
349,-0.2001,2.61928,0.350615,2.15234
350,-0.172129,2.39531,-2.4651e-05,2.3876
351,0.520282,2.23783,0.170743,2.0953
352,0.537918,2.39549,-0.159363,2.11285
353,0.081736,2.48547,0.113345,1.84182
354,0.283778,2.38234,0.20744,1.98275
355,0.654073,2.34314,0.0345047,2.08639
356,0.305395,2.36368,0.0741799,1.88707
357,-0.188542,2.37964,-0.0479169,2.47667
358,-0.196434,2.42124,0.114444,2.2427
359,1.00916,2.10156,-0.15717,1.92971
360,1.23012,2.01909,-0.186544,1.8746
361,1.01757,1.98726,0.00890376,1.74518
362,1.06595,1.9834,-0.00324951,1.79695
363,1.11757,2.46223,-0.379625,1.71071
364,0.379773,2.148,0.0174203,1.9202
365,-0.00215268,2.57963,0.0294559,2.36364
366,-0.0595063,2.11962,-0.120917,2.34033
367,0.380389,2.21662,0.110663,2.17447
368,0.405521,2.07552,0.293505,2.04011
369,-0.20201,2.54937,-0.106052,2.22003
370,1.07676,2.35421,-0.158339,1.62744
371,1.00825,2.29117,-0.0179495,1.59066
372,0.255587,2.48048,0.0547923,2.02029
373,0.721348,2.21339,-0.33322,1.91536
374,-0.496616,2.36272,0.339089,2.43956
375,-0.233136,2.17811,0.456225,2.44769
376,0.855337,2.35158,-0.110102,1.70608
377,1.61282,2.03202,-0.270032,2.04291
378,0.34513,2.25491,-0.256086,2.53722
379,0.0724133,2.2652,-0.0756941,2.41817
380,0.58314,2.1827,-0.0145757,1.95602
381,0.191117,2.32942,0.274999,2.06076
382,-0.200772,2.63084,-0.136948,2.01097
383,0.547912,1.97042,0.199802,2.34257
384,0.591664,2.17569,-0.0521174,2.0414
385,0.504985,2.10428,-0.1183,2.04875
386,0.548038,2.30883,0.00174177,2.11256
387,0.221376,2.22172,0.0944191,2.20693
388,0.15781,2.08742,0.375112,2.20919
389,0.686116,2.29187,-0.0805268,1.98369
390,0.429941,2.32837,0.131162,2.16762
391,0.327961,2.33147,0.0233463,2.09772
392,1.33692,2.28099,-0.24021,1.79213
393,1.27434,2.34834,-0.347529,1.82947
394,1.24922,2.17608,-0.183699,1.97171
395,0.565063,2.48597,-0.122759,1.93025
396,0.85915,2.10756,-0.0522263,1.98627
397,0.13569,2.68847,0.0628087,2.09811
398,0.369443,2.29017,0.247635,1.7324
399,1.10879,2.33,-0.38371,1.87543
400,0.434157,2.29575,0.179857,1.85169
401,0.00720322,2.06608,0.0527382,2.52335
402,0.464499,2.21011,-0.221676,2.17285
403,0.0249468,2.31547,0.146055,1.87832
404,0.686759,2.36105,-0.114157,2.23766
405,0.132376,2.37702,-0.0142081,2.28814
406,0.815901,2.19821,0.00139217,1.93531
407,0.13418,2.32436,-0.0321092,2.26196
408,0.502249,2.77797,0.106679,1.82627
409,0.530829,2.61223,-0.140723,1.76567
410,0.515975,2.61848,-0.0019767,1.95268
411,0.377901,1.87007,0.119101,2.17517
412,1.24466,2.21966,-0.154008,1.78509
413,1.43052,2.16986,-0.199515,1.7286
414,1.41868,1.86986,-0.15286,1.79091
415,0.922178,1.9818,-0.143271,2.06464
416,-0.0989351,2.25693,0.325457,2.19179
417,-0.144373,2.46744,-0.039033,2.20518
418,0.628868,1.94147,0.446818,2.10244
419,0.407188,2.52896,-0.328903,2.23594
420,0.415482,2.16377,0.2762,2.03284
421,0.647572,2.48345,-0.208207,2.16948
422,0.450774,2.27577,-0.0285061,2.33691
423,-0.0201804,2.43733,0.0068314,2.34977
424,0.794451,2.01868,0.000560295,1.95278
425,0.149853,2.19921,-0.0298532,2.54964
426,0.146156,2.09944,0.268231,2.30942
427,0.776834,2.41194,-0.358588,1.57052
428,0.133649,2.5556,0.189065,1.9231
429,0.701181,2.10733,-0.123075,2.07395
430,0.367714,2.38529,-0.398821,2.12453
431,0.244355,2.19699,-0.133092,2.13887
432,0.0602417,2.27545,-0.101865,2.09041
433,0.883881,2.17397,-0.0669455,1.78558
434,0.631174,2.28473,-0.0922727,1.97478
435,0.377902,2.72374,0.238979,1.74943
436,-0.125262,2.26575,0.117602,2.54867
437,-0.0570508,2.17233,0.0861667,2.47511
438,0.179189,2.19846,-0.084362,2.11556
439,0.439713,2.05455,-0.208075,2.1961
440,0.178259,1.91403,0.222558,2.22753
441,0.399218,2.27753,-0.283444,2.22772
442,0.455489,2.35755,-0.0597523,2.06333
443,1.30094,1.96489,-0.339471,1.98751
444,0.414262,2.37779,0.305498,1.85681
445,0.109363,2.24727,-0.0399109,2.25772
446,-0.0989771,2.15646,-0.0335068,2.19635
447,0.523564,1.64989,-0.0993238,2.35051
448,0.942683,2.38735,-0.072002,1.83946
449,0.627759,2.24267,-0.231258,2.09418
450,0.0747525,2.12136,0.14207,2.16125
451,-0.274794,2.08777,0.0341581,2.58998
452,0.741533,1.97876,0.0492748,2.23415
453,0.439066,2.32397,-0.212231,2.18349
454,0.950214,2.12342,0.0145543,1.5287
455,0.68352,2.48487,-0.239333,2.05665
456,0.493142,2.1611,-0.0445875,2.1492
457,0.399376,2.14416,-0.0374998,2.15132
458,0.305077,2.52657,0.135766,2.0842
459,0.325525,2.09448,0.0721597,2.32042
460,-0.311304,2.67919,-0.143859,2.2727
461,-0.302136,2.63012,0.0381292,2.12632
462,0.459385,2.03506,-0.129342,2.25072
463,0.777661,2.48132,-0.225911,1.78355
464,0.6796,2.17429,-0.089892,1.93327
465,-0.165202,2.22401,-0.156654,2.05801
466,-0.10898,2.4428,0.190586,2.53792
467,-0.1076,2.52252,-0.360565,2.14981
468,0.580162,2.0538,0.0612261,2.11387
469,0.795343,2.47142,-0.363116,1.90851
470,0.204994,2.05099,0.0394448,2.25711
471,1.31729,2.64805,-0.323345,1.65161
