,intercetta,età_madri,inatt_donne,inatt_uomini,occup_donne,occup_uomini
0,0.968827,-0.422655,0.516288,-0.181843,0.526226,0.100796
1,1.19166,-0.398974,-0.0713815,-0.0573007,0.0507541,0.0791092
2,1.21282,-0.454059,0.530305,0.0516239,0.655107,0.349445
3,0.964485,-0.409521,0.0734763,-0.143504,0.0206193,0.142376
4,1.04272,-0.391699,0.124578,-0.0588312,0.0935028,0.243728
5,1.01249,-0.354899,0.333236,-0.135475,0.224271,0.287447
6,0.842144,-0.376872,-0.0149329,0.0142232,-0.044101,0.355454
7,1.1414,-0.47535,-0.180601,0.150936,-0.230285,0.476472
8,1.18512,-0.446968,-0.0357428,0.0868667,0.0153079,0.297971
9,1.10351,-0.434254,0.0274328,-0.0997189,0.0354874,0.113197
10,1.00908,-0.427582,0.143146,-0.0445333,0.142696,0.269173
11,1.01984,-0.393196,0.652391,-0.242533,0.606034,0.0486424
12,1.27227,-0.407361,0.289525,0.0533207,0.298265,0.371544
13,1.18321,-0.445884,0.350434,-0.0125775,0.282916,0.475778
14,1.1055,-0.491894,0.274837,0.0454078,0.207714,0.419414
15,0.911622,-0.466712,0.221537,-0.0625424,0.201898,0.237639
16,0.959743,-0.446515,0.465919,-0.0500458,0.421103,0.282606
17,0.890758,-0.488034,0.467928,-0.0316873,0.491962,0.201252
18,1.03831,-0.483325,0.585332,-0.197707,0.629996,0.160711
19,1.11278,-0.442523,-0.0432333,-0.0466024,0.0802187,0.116303
20,1.22244,-0.422147,0.324897,-0.172178,0.295196,0.103952
21,1.20444,-0.401131,-0.142737,-0.309615,0.0131709,-0.176447
22,1.12704,-0.423849,0.612337,-0.309261,0.677138,-0.019182
23,1.17025,-0.43356,0.764743,-0.332529,0.801291,-0.0499925
24,1.15892,-0.334105,0.69857,-0.417627,0.708738,-0.1779
25,0.980986,-0.475333,0.297573,0.0366873,0.272164,0.425963
26,0.97027,-0.498592,0.247788,0.0966575,0.288965,0.4676
27,0.918653,-0.507643,0.575253,0.0201918,0.630576,0.368082
28,0.923039,-0.44193,-0.0457932,0.00738438,-0.274567,0.467574
29,1.05484,-0.459946,-0.0500049,0.179645,-0.21659,0.518231
30,1.07075,-0.479032,0.134338,-0.13592,0.230602,0.227729
31,1.1409,-0.396963,0.450492,-0.0901463,0.422197,0.240739
32,1.08995,-0.360338,0.12292,-0.226894,0.136165,-0.0146469
33,1.08993,-0.455743,0.412222,-0.189052,0.416927,0.0606721
34,1.15582,-0.394041,0.525833,-0.1621,0.389594,0.211191
35,1.21708,-0.385355,0.581772,-0.258458,0.780351,-0.110161
36,1.20538,-0.358633,0.368697,-0.246881,0.426242,-0.0366756
37,1.05684,-0.479257,0.391266,-0.0609978,0.368772,0.330405
38,1.06246,-0.343687,-0.261958,0.127404,-0.296983,0.49064
39,1.1288,-0.441948,0.393191,-0.167154,0.301443,0.182766
40,1.09393,-0.436848,0.673957,-0.0948649,0.687979,0.157848
41,1.08304,-0.443787,0.431822,-0.240362,0.666655,-0.133731
42,1.15545,-0.437989,-0.0881856,-0.00689976,-0.141494,0.399782
43,0.955717,-0.504753,0.150384,-0.00993295,0.172735,0.299396
44,0.966642,-0.413917,0.717869,-0.449573,0.713984,-0.191363
45,0.976297,-0.409366,0.390191,-0.27274,0.382074,0.0468539
46,0.938735,-0.475903,0.749072,-0.207568,0.841353,0.0421454
47,0.767272,-0.382696,0.680105,-0.165154,0.574869,0.276626
48,0.870109,-0.395256,0.634188,-0.111522,0.674877,0.0573641
49,0.962071,-0.433467,0.403448,-0.188221,0.452087,0.148242
50,0.968686,-0.410602,0.564038,-0.278415,0.522166,0.162457
51,0.970141,-0.422051,0.733657,-0.238339,0.730644,0.000435828
52,0.972689,-0.40799,0.621042,-0.240611,0.621978,0.0882347
53,1.01327,-0.418599,0.326105,-0.224549,0.403172,0.0126678
54,0.951957,-0.389711,0.430408,-0.153625,0.45008,0.135907
55,0.961806,-0.44041,0.569808,-0.211104,0.630577,0.0840196
56,1.12141,-0.4175,0.0704703,-0.190827,0.0814205,0.153891
57,0.975219,-0.438804,0.312356,0.0270899,0.261321,0.404769
58,1.15685,-0.421537,0.0574659,-0.0663429,-0.0180738,0.312488
59,1.17574,-0.407363,0.206401,-0.0753048,0.200627,0.160177
