,X0,X1,X2,X3
122,-5.37297,-5.38709,-1.83268,-4.44696
123,-5.44333,-5.40015,-1.76941,-4.46997
124,-5.52482,-5.55395,-1.67733,-4.52121
125,-5.49986,-5.45676,-1.76297,-4.37191
126,-5.40339,-5.48327,-1.71107,-4.31046
127,-5.61113,-5.50001,-1.71874,-4.3188
128,-5.59508,-5.4839,-1.7423,-4.32793
129,-5.36221,-5.55241,-1.74106,-4.48619
130,-5.47289,-5.4124,-1.80589,-4.46904
131,-5.40733,-5.55481,-1.6999,-4.43641
132,-5.49307,-5.38357,-1.7963,-4.48262
133,-5.50152,-5.50683,-1.72227,-4.55675
134,-5.51511,-5.4877,-1.7243,-4.545
135,-5.61315,-5.53656,-1.61775,-4.4313
136,-5.62955,-5.48826,-1.65584,-4.46908
137,-5.3134,-5.46128,-1.82352,-4.46897
138,-5.57465,-5.53796,-1.65884,-4.44166
139,-5.21898,-5.46522,-1.83329,-4.56544
140,-5.52468,-5.50698,-1.65087,-4.49134
141,-5.40297,-5.42994,-1.77592,-4.50124
142,-5.31057,-5.48999,-1.76931,-4.46354
143,-5.34381,-5.47552,-1.71271,-4.55115
144,-4.95312,-5.46635,-1.83531,-4.47062
145,-5.11938,-5.36979,-1.69399,-4.6426
146,-5.16628,-5.33352,-1.76376,-4.6018
147,-5.47589,-5.56111,-1.84914,-4.44103
148,-5.3525,-5.36012,-1.75907,-4.49929
149,-5.21915,-5.4306,-1.76632,-4.47494
150,-5.1675,-5.39816,-1.66216,-4.49054
151,-5.46136,-5.54385,-1.80111,-4.45352
152,-4.95009,-5.32283,-1.75469,-4.52133
153,-5.64439,-5.48241,-1.67128,-4.49238
154,-5.0971,-5.44221,-1.77116,-4.54318
155,-5.14636,-5.50948,-1.74731,-4.45853
156,-5.32183,-5.45216,-1.8114,-4.5207
157,-5.28263,-5.38599,-1.8022,-4.55469
158,-5.39843,-5.5838,-1.78726,-4.39088
159,-5.60231,-5.37673,-1.72314,-4.52993
160,-5.40087,-5.55689,-1.77206,-4.54256
161,-5.50343,-5.51846,-1.84986,-4.48315
162,-5.34841,-5.58571,-1.79564,-4.49735
163,-5.09832,-5.42244,-1.72877,-4.53156
164,-5.22782,-5.52857,-1.86989,-4.51144
165,-5.21258,-5.47206,-1.69758,-4.56039
166,-5.44923,-5.39734,-1.72835,-4.47666
167,-5.50232,-5.52949,-1.78284,-4.5009
168,-5.64088,-5.35912,-1.6741,-4.4807
169,-5.29685,-5.49951,-1.92457,-4.48773
170,-5.89333,-5.28669,-1.70369,-4.44089
171,-5.52104,-5.56264,-1.75339,-4.42507
172,-5.34051,-5.53073,-1.96026,-4.43607
173,-5.24131,-5.48581,-1.79036,-4.48414
174,-5.25348,-5.46996,-1.69989,-4.5128
175,-5.42745,-5.47714,-1.75956,-4.51732
176,-5.46184,-5.40747,-1.76589,-4.49816
177,-5.1906,-5.48758,-1.75503,-4.53005
178,-5.65935,-5.46396,-1.79044,-4.41354
179,-5.77172,-5.33813,-1.78234,-4.40956
