,intercetta,età_madri,inatt_donne,inatt_uomini,occup_donne,occup_uomini
0,0.389405,-0.00257458,-1.0973,-0.455225,-1.18707,-0.088385
1,0.43333,-0.143468,-0.144356,-0.457803,-0.967918,0.318349
2,0.609233,-0.051956,0.448161,-0.938386,0.600977,0.130863
3,-0.0985991,0.0282612,-0.195459,-0.136045,-0.840615,1.09771
4,-0.0477136,-0.123032,-0.410929,-0.280936,-0.683902,-0.0103972
5,0.0562618,0.0263914,-0.819738,-0.804548,-0.443128,1.0583
6,0.530365,0.0809407,0.319275,-0.599859,0.0408892,0.51609
7,0.0423023,0.0112817,-0.174344,-0.798762,-1.03039,0.35386
8,0.259004,0.143724,-0.549827,-0.402903,-0.380171,-0.0316777
9,0.272767,0.168773,0.531053,-0.436236,-0.174933,1.30391
10,0.493502,0.259439,0.843084,0.00961288,0.193313,0.529607
11,0.407774,0.225472,-1.48333,-0.253433,-0.398169,0.0610525
12,0.247583,0.174011,-0.541126,-1.327,0.346424,0.0467394
13,0.562615,0.577198,0.10376,-0.842127,0.288052,0.0659111
14,0.495526,0.377237,-0.129376,-1.37972,1.26176,-0.0864305
15,0.4246,0.0992078,-0.0772773,-0.541814,-0.307695,0.406019
16,0.273594,-0.178756,0.238873,-0.779521,-1.17109,-0.148256
17,0.000243989,-0.0156427,-0.471696,-0.137809,-0.155155,0.587344
18,0.498811,0.0671413,-0.0191874,-0.973914,-0.566836,-0.376212
19,0.83216,0.189454,-1.02415,-0.894593,-0.652528,0.287621
20,0.679861,0.129153,-0.195312,-1.01817,0.313055,-0.274954
21,0.86565,0.204163,-0.131071,-0.720365,0.428247,0.412678
22,0.696625,0.205119,0.24096,-1.12354,0.263161,-0.279959
23,0.729544,0.118645,-0.100875,-0.71864,0.267801,-0.202907
24,0.447965,0.150349,0.537761,-0.464594,0.309107,-0.099853
25,0.354951,-0.0724253,-0.347671,-0.251777,-0.538949,-0.385964
26,0.346979,-0.0142084,-0.526276,-0.293596,-0.523737,-0.252238
27,0.623459,0.181447,-0.776223,-0.614901,-0.287204,-0.293096
28,0.666837,0.12518,-0.619788,-0.897956,-0.861219,0.188925
29,0.387956,-0.155302,-0.302859,-0.713243,-1.28063,-0.296854
30,0.423475,-0.077886,0.292745,-0.527623,0.49876,0.321012
31,0.560833,0.0215216,1.02983,-0.987613,0.501716,0.228036
32,0.877084,0.138812,-0.865086,-0.856894,-0.800544,-0.75222
33,0.666714,0.0873863,-1.26652,-0.84284,-0.977567,-0.577331
