,X0,X1,X2,X3
0,3.29585,3.76109,5.88207,4.64752
1,3.36655,3.805,5.53557,4.53678
2,3.16933,3.90655,5.81126,4.31745
3,3.39691,3.83521,5.82033,4.42264
4,2.72469,3.91763,5.66843,4.89309
5,3.11609,3.51905,5.47937,4.7883
6,2.51314,3.89007,5.86615,4.8855
7,2.23848,3.79518,5.85629,4.72905
8,2.24967,3.96883,5.58273,4.70339
9,2.5066,3.83262,5.91435,4.78719
10,2.49127,3.87203,5.81247,4.91774
11,3.19294,3.92556,5.58242,4.54558
12,3.10244,4.03319,5.5647,4.60728
13,2.59082,3.71374,5.71164,5.00292
14,2.98354,4.04463,5.70252,4.66436
15,2.95904,3.55748,5.66253,4.82446
16,2.36013,4.05626,5.73004,4.66729
17,3.35857,3.65262,5.62112,4.68452
18,3.0057,4.07313,5.69582,4.45321
19,2.66129,3.70917,5.78432,5.06807
20,2.81761,4.00154,5.8872,4.43868
21,2.46966,3.73751,5.55915,5.06669
22,3.12751,3.89214,5.81835,4.60271
23,3.11316,3.82424,5.41278,4.92463
24,2.9333,3.70799,5.87964,4.55613
25,2.75796,3.96609,5.60304,4.90118
26,2.79148,3.76377,5.62047,4.80337
27,2.50514,4.13888,5.67765,4.76812
28,3.36453,3.44169,5.70921,4.7646
29,3.30054,3.82663,5.56209,4.70175
30,2.17014,4.04218,5.90487,4.72873
31,2.17725,4.04005,5.96085,4.79815
32,2.4177,3.80642,5.83819,4.72415
33,2.44544,3.76287,5.85981,4.83643
34,3.5818,3.81239,5.5441,4.56007
35,3.24417,3.90476,5.72011,4.62893
36,3.27618,3.87244,5.70589,4.57444
37,3.32734,3.78216,5.72089,4.66823
38,2.3763,4.01754,5.60257,5.03019
39,2.55987,3.89964,5.66243,4.79776
40,3.67915,3.65711,5.44457,4.68199
41,2.95544,3.74014,5.72894,4.66879
42,2.83469,3.99361,5.66173,4.68298
43,2.81116,3.88866,5.65657,4.79701
44,2.68277,3.97741,5.77179,4.61561
45,2.51396,4.03109,5.68519,4.6887
46,3.07808,3.72611,5.55151,4.62931
47,2.83375,3.69781,5.83597,4.87374
48,2.96125,3.91272,5.46393,4.59387
49,2.83379,4.02813,5.67967,4.63617
50,3.2128,3.83363,5.85589,4.53109
51,2.69266,3.73371,5.40718,4.87447
52,2.80453,3.84065,5.60674,4.83705
53,3.24619,3.70862,5.5519,4.74947
54,2.92879,3.83719,5.75629,4.70047
55,2.64614,3.8612,5.71089,4.89054
56,3.10442,3.81801,5.69854,4.66769
57,3.13803,4.02758,5.49291,4.56003
58,3.33054,4.08078,5.50165,4.60107
59,3.10457,3.90277,5.78308,4.65463
