,intercetta,età_madri,inatt_donne,inatt_uomini,occup_donne,occup_uomini
0,-0.404602,-0.218851,0.131931,0.0577849,0.3455,0.0282872
1,-0.184104,-0.289266,0.25441,0.0282286,0.51018,-0.00624007
2,-0.0961626,-0.2933,-0.00105958,0.118379,0.296137,0.157986
3,-0.414897,-0.249801,0.204526,0.0710746,0.366066,0.0856354
4,-0.380858,-0.271645,0.061686,0.0770397,0.254986,0.0791626
5,-0.371379,-0.265481,0.0561857,0.0621959,0.334761,0.114836
6,-0.438358,-0.195402,-0.0603353,0.223676,0.208591,0.284545
7,-0.221994,-0.260012,-0.100125,0.0872792,0.0787747,0.135409
8,-0.227494,-0.238975,-0.0039741,0.108599,0.179962,0.171281
9,-0.267064,-0.260186,0.0233342,0.150337,0.24612,0.212982
10,-0.364899,-0.262075,0.0110004,0.155202,0.175844,0.20585
11,-0.235688,-0.188632,0.210375,-0.0143581,0.345223,0.0357497
12,-0.138379,-0.234371,0.0764929,0.177971,0.334432,0.134075
13,-0.0959634,-0.265747,0.0714339,0.101011,0.290399,0.171639
14,-0.132349,-0.266375,-0.00913363,0.195972,0.20754,0.201344
15,-0.356095,-0.297158,-0.0268075,0.0966586,0.221206,0.1029
16,-0.281044,-0.24247,-0.0644305,0.123872,0.204225,0.149774
17,-0.385579,-0.244645,0.0933502,0.167703,0.250769,0.232171
18,-0.284099,-0.301735,0.0538847,0.257723,0.284468,0.271788
19,-0.0820668,-0.253931,0.124052,-0.102402,0.338091,-0.0767501
20,-0.112674,-0.242568,0.0449454,0.0762022,0.252575,0.0187047
21,-0.0659061,-0.220476,0.200717,0.0964008,0.406863,0.150279
22,-0.206915,-0.300482,-0.0186425,0.133433,0.272529,0.118834
23,-0.19181,-0.292898,0.0943199,0.0965677,0.25547,0.159185
24,-0.27604,-0.191268,0.0308184,0.121709,0.328681,0.168007
25,-0.235644,-0.297372,0.179929,-0.0197147,0.352805,0.0596906
26,-0.238392,-0.283,0.129113,-0.0102304,0.366434,-0.0210559
27,-0.278858,-0.305345,0.162964,0.0178892,0.378505,0.0257195
28,-0.33769,-0.263178,0.204954,0.104105,0.45116,0.112267
29,-0.328871,-0.226945,0.142063,0.1651,0.241273,0.137153
30,-0.198017,-0.296474,0.0724628,0.101936,0.354326,0.178423
31,-0.215246,-0.246198,-0.0393118,0.161841,0.125784,0.23745
32,-0.300942,-0.245309,0.307761,0.0920324,0.572275,0.0209488
33,-0.241861,-0.261,0.093916,0.0974266,0.292408,0.0559695
34,-0.237606,-0.255208,0.203091,0.129149,0.328695,0.0682619
35,-0.184714,-0.242735,0.202835,0.0495942,0.48722,0.02496
36,-0.239671,-0.244729,0.141441,0.0551678,0.385647,0.017751
37,-0.188835,-0.305499,-0.0136097,0.185517,0.142327,0.265822
38,-0.3541,-0.241627,-0.032157,0.195284,0.277843,0.20202
39,-0.227811,-0.300442,0.067183,0.121777,0.223407,0.193378
40,-0.199477,-0.290944,-0.111302,0.204966,0.0471864,0.212733
41,-0.201862,-0.260662,0.0114596,0.0697393,0.319342,0.102774
42,-0.142419,-0.261951,0.201813,0.0350617,0.389687,0.08022
43,-0.269587,-0.290023,0.0708688,0.114139,0.346019,0.188815
44,-0.390539,-0.246719,0.095857,0.0963184,0.240886,0.0805853
45,-0.32505,-0.287262,-0.0262727,0.13752,0.176529,0.198569
46,-0.385877,-0.303389,0.417453,-0.0222742,0.607576,0.0113307
47,-0.567424,-0.287226,0.13504,0.286906,0.41362,0.255424
48,-0.424183,-0.245388,0.120931,0.168096,0.216015,0.288213
49,-0.437987,-0.29193,0.0476045,0.0649783,0.291708,0.0856854
50,-0.425007,-0.29065,0.0560459,0.0388348,0.273633,0.0799352
51,-0.303107,-0.243367,0.315718,0.121191,0.560788,0.0972635
52,-0.377358,-0.291321,0.18076,-0.0339065,0.420134,0.0294111
53,-0.28471,-0.243954,0.0694413,0.167507,0.34428,0.103156
