,X0,X1,X2,X3
0,5.41972,6.27531,4.95361,6.1669
1,5.29657,6.18809,4.97698,6.19753
2,5.42702,6.2545,4.79238,5.98809
3,5.43274,6.31654,4.78199,6.03464
4,5.20374,6.26486,5.29419,6.17843
5,5.27276,6.24636,4.82959,6.054
6,4.87865,6.18436,5.25042,6.29275
7,4.76111,6.25341,5.29125,6.27015
8,4.93296,6.19468,5.15834,6.20945
9,4.97672,6.24392,5.14987,6.14458
10,5.13091,6.25294,5.13532,6.1734
11,4.99404,6.30263,5.09596,6.02736
12,4.99725,6.35042,5.10698,6.02711
13,5.36944,6.16418,5.01195,6.19175
14,5.25644,6.27948,5.05134,6.06761
15,4.6943,6.19921,5.16094,6.22086
16,5.15034,6.38446,5.04108,6.05699
17,5.4705,6.02687,5.0528,6.27872
18,5.4707,6.25202,4.92915,6.13457
19,5.35784,6.24683,5.06989,6.17762
20,4.83092,6.39168,5.02475,6.2027
21,5.53567,6.0933,5.08757,6.1104
22,5.18745,6.0404,5.0509,6.12547
23,5.11374,6.26115,5.08123,6.23162
24,4.67095,6.26195,5.04708,6.15481
25,4.92508,6.34309,5.10527,6.1061
26,5.01038,6.13899,5.13988,6.17943
27,4.61488,6.4103,4.98039,6.339
28,5.19182,6.17405,5.23755,5.85372
29,5.12949,6.16724,4.94739,6.19961
30,5.13042,6.26297,5.05934,6.16081
31,5.11942,6.24962,5.13849,6.17231
32,5.2794,6.44102,5.13256,5.99514
33,5.23775,6.37113,5.01186,6.1305
34,5.29102,6.03177,5.01793,6.15575
35,5.32775,6.34536,5.17191,6.1108
36,5.25846,6.34513,5.16082,6.15167
37,5.15525,6.27545,5.21364,6.12345
38,5.55867,6.33839,5.04679,6.06228
39,5.48127,6.10518,4.92462,6.0974
40,5.05283,6.31187,5.12274,6.11183
41,5.63677,6.21288,4.90031,6.0852
42,5.60973,6.20039,4.85011,6.16991
43,5.79809,6.20754,4.85243,5.97569
44,4.8416,6.26981,5.15311,6.17902
45,4.59601,6.38206,5.20119,6.22254
46,4.77982,6.24591,5.06376,6.03974
47,4.64865,6.29306,5.19816,6.13735
48,5.24173,6.21651,5.04932,6.21056
49,5.03933,6.23086,5.00438,6.29245
50,5.42719,6.22552,5.19942,6.0699
51,5.13338,6.20444,4.90918,6.19007
52,5.29784,6.20963,5.02895,6.10439
53,5.27823,6.20931,5.04321,6.06102
54,4.90112,6.26583,5.1264,6.18044
55,4.90903,6.22959,5.1895,6.19893
56,5.23004,6.21823,5.07288,6.03501
57,5.24927,6.30358,5.06378,6.10592
58,5.33217,6.33943,5.0643,6.13758
59,5.87133,6.22606,4.94335,6.03866
60,5.4852,6.19918,5.06142,5.99966
61,4.72857,6.40006,5.16949,6.32923
62,4.63551,6.40987,5.08245,6.30437
63,4.84475,6.2797,5.16678,6.36879
64,5.01023,6.33067,5.15189,6.06725
65,5.43413,6.16257,4.84678,6.06448
66,5.01858,6.2307,5.04374,6.2261
67,5.01677,6.3269,5.1469,6.09787
68,5.31282,6.15946,5.06176,6.19408
69,5.18284,6.29232,5.11931,6.15934
70,5.10694,6.19423,5.07901,6.05986
