,intercetta,età_madri,inatt_donne,inatt_uomini,occup_donne,occup_uomini
0,0.2471,1.01357,1.02065,-1.57863,1.21068,-0.564515
1,0.317052,1.259,-0.358594,-0.441734,0.559877,-0.12684
2,0.490848,-0.268512,-0.875593,-0.18015,0.175982,-0.0119504
3,-0.0125099,1.4354,-0.132412,0.0217176,0.736395,0.685556
4,1.35238,1.03198,-0.0188832,0.00226353,-0.367433,0.929257
5,0.900285,1.34961,-0.50902,-0.0117698,-0.300284,0.903389
6,-0.67499,0.427018,-0.348692,-0.309817,0.494779,0.479456
7,1.72803,0.684953,-0.738299,-0.351004,-0.00222194,-0.500849
8,1.41552,0.74303,-0.917325,-0.135662,0.599715,-0.867908
9,2.50821,0.537231,-0.26753,0.164796,0.711094,-0.536326
10,1.68066,0.994299,-0.824899,0.303387,0.374449,-0.235545
11,-0.563221,0.872102,-0.246433,-0.102974,-0.249762,1.577
12,1.01601,1.14874,-0.842377,-0.461119,0.270403,-0.492748
13,1.34139,1.18451,-0.769052,-0.0679596,0.3608,-0.111025
14,0.495812,0.870617,-0.998612,-0.0455269,-0.24714,0.574032
15,0.910791,1.06297,0.643407,-1.30633,0.793153,-0.481932
16,-0.104592,1.58236,-0.242339,-0.704922,0.178193,0.397052
17,0.909756,1.63994,0.435035,-0.587263,1.0137,-0.0367552
18,-0.0468953,1.52618,-0.404272,-0.692435,0.422464,0.167483
19,0.886647,-0.220092,-0.273803,0.379277,1.25561,-0.216368
20,-0.305622,0.741459,-0.756576,0.00876501,0.364709,0.792951
21,0.313387,0.897461,-0.52445,-0.275063,0.2347,0.260369
22,0.428782,0.335447,-1.05673,-0.283172,0.0435743,-0.0309859
23,0.582104,0.126022,-1.00597,0.0545939,-0.210067,0.316366
24,0.695703,0.616552,0.908272,-0.808641,1.81619,-0.686234
25,1.00536,0.468923,-1.34332,0.366736,-0.171086,0.140385
26,0.987342,0.299434,-0.964933,0.333946,-0.00878263,0.249319
27,1.18646,0.180388,-1.24774,0.790038,-0.0740175,0.460347
28,0.168065,0.998736,0.134765,-0.592238,0.287175,0.506014
