,X0,X1,X2,X3
0,-2.61223,-2.86905,-3.77351,-2.94373
1,-2.44286,-2.89628,-3.91735,-3.13987
2,-2.55597,-3.0813,-3.65279,-3.30585
3,-2.35925,-2.94561,-3.55211,-3.32915
4,-2.27289,-3.00959,-3.90913,-2.97723
5,-2.77632,-2.97184,-3.55937,-3.10769
6,-2.24765,-2.92668,-3.97584,-3.24654
7,-2.18433,-3.02206,-3.87048,-3.16921
8,-2.42683,-2.97034,-3.84983,-3.1482
9,-2.47392,-2.77361,-3.85178,-3.12293
10,-2.21804,-3.18888,-3.74599,-3.18908
11,-2.63929,-2.82489,-3.74923,-3.05862
12,-2.62013,-2.88642,-3.7813,-3.05175
13,-1.95736,-3.1321,-3.8579,-3.25806
14,-2.72211,-2.79257,-3.62869,-3.08852
15,-2.50775,-3.14433,-3.88448,-3.01665
16,-2.22612,-3.21371,-3.60544,-2.99908
17,-2.36064,-2.93001,-3.86201,-3.21549
18,-2.71816,-2.94619,-3.7235,-3.11308
19,-1.23404,-3.33783,-3.887,-3.25511
20,-2.33412,-3.00525,-3.79234,-2.9427
21,-2.15504,-2.88454,-3.69668,-3.39673
22,-2.12556,-3.04265,-3.77517,-2.97043
23,-1.934,-2.95111,-3.88016,-3.37021
24,-2.5536,-3.11327,-3.70767,-3.01604
25,-2.19639,-3.06255,-3.85489,-3.31331
26,-2.4791,-3.04449,-3.77553,-2.84329
27,-2.45469,-3.108,-3.68326,-3.20407
28,-2.70944,-2.88872,-3.78312,-3.0113
29,-2.71617,-2.78912,-3.81636,-3.29162
30,-2.27777,-3.23368,-3.7441,-3.01227
31,-2.27463,-3.2123,-3.76441,-3.05945
32,-1.92155,-3.28584,-3.75637,-3.20181
33,-1.88628,-3.34641,-3.6397,-3.12627
34,-2.37958,-2.85692,-3.94723,-3.1879
35,-2.5844,-2.84254,-3.55678,-3.21085
36,-2.41117,-2.90828,-3.63569,-3.24917
37,-2.35141,-2.96199,-3.79916,-3.05229
38,-1.64821,-3.18408,-3.70674,-3.39099
39,-1.904,-2.81084,-3.86124,-3.37134
40,-2.98234,-3.04685,-3.60747,-3.00928
41,-1.92011,-2.96946,-3.84158,-3.25381
42,-2.4403,-2.89618,-3.84044,-3.05265
43,-2.34378,-2.74892,-3.9665,-3.17576
44,-2.34761,-3.2496,-3.76755,-3.05285
45,-2.61522,-2.71729,-3.57074,-3.27682
46,-2.26524,-3.15273,-4.06162,-3.08032
47,-2.19953,-3.00667,-3.79577,-3.25736
48,-2.38126,-3.02925,-3.93773,-2.9883
49,-2.08515,-3.09981,-3.84338,-3.03695
50,-1.66908,-3.0865,-3.74281,-3.34759
51,-2.50854,-2.97534,-3.89214,-3.06929
52,-2.66233,-3.02733,-3.85869,-2.82008
53,-2.53621,-3.09501,-3.65144,-2.94194
54,-2.30832,-2.89301,-3.77831,-3.20457
55,-2.51745,-3.11156,-3.73814,-2.82581
56,-1.75969,-3.00934,-3.83865,-3.56503
57,-2.16973,-2.94772,-3.88781,-3.18134
58,-2.25456,-2.96076,-3.89472,-3.11281
59,-1.86874,-3.18044,-3.82651,-3.17298
60,-2.61413,-2.90077,-3.5938,-3.26118
61,-1.991,-3.12934,-3.96432,-3.02118
62,-2.11781,-3.04866,-4.1147,-2.98966
63,-2.40299,-3.00826,-3.99511,-3.02467
64,-2.23294,-2.96335,-3.8126,-3.45334
65,-2.27956,-3.0584,-3.91721,-3.27652
66,-2.53411,-2.96547,-3.7401,-3.26478
67,-1.85688,-2.98324,-4.00017,-3.12934
68,-2.38804,-3.08049,-3.70284,-3.30056
69,-2.14709,-3.18184,-3.77995,-3.33876
70,-2.11886,-2.89757,-3.84612,-3.11918
71,-2.68068,-3.07135,-3.66398,-2.75548
72,-2.20075,-2.8936,-3.72654,-3.33429
73,-2.21251,-2.98973,-3.72092,-3.37044
74,-2.19454,-3.06176,-3.61793,-3.32637
75,-2.37173,-2.91203,-3.76394,-3.26906
76,-2.02583,-3.19037,-3.76094,-3.1272
77,-2.35546,-3.05131,-3.62305,-3.02429
78,-2.23005,-3.09277,-3.81091,-3.05285
79,-2.66259,-3.04694,-3.73694,-2.91323
80,-2.60739,-3.05496,-3.65849,-3.08036
81,-2.1488,-2.97947,-3.95684,-3.14506
82,-2.04023,-3.07482,-3.67041,-3.28844
83,-2.66113,-2.80378,-3.76994,-2.94884
84,-2.65995,-2.83123,-3.54578,-3.2824
85,-1.96755,-3.1759,-3.96155,-3.13847
86,-1.87124,-3.13493,-3.97401,-3.10981
87,-2.1643,-3.15518,-3.51362,-3.32847
88,-2.48314,-3.1017,-4.00139,-3.09824
89,-2.03965,-3.15045,-3.82287,-3.27036
90,-2.7306,-2.96827,-3.7658,-3.01959
91,-2.31661,-3.01291,-3.8268,-3.03396
92,-2.37956,-2.95696,-3.81209,-3.10447
93,-2.1272,-3.08689,-3.75672,-3.28615
94,-2.37087,-3.13275,-3.74415,-3.10808
95,-2.28038,-3.4169,-3.60103,-3.01978
96,-2.84066,-2.56167,-3.85881,-3.19578
97,-2.30334,-3.12925,-3.56705,-3.1111
98,-2.3868,-2.84956,-3.76068,-3.08353
99,-2.45188,-2.85071,-3.7862,-3.08052
100,-1.94197,-3.28819,-3.84023,-3.13735
101,-1.67012,-3.1291,-3.94941,-3.14831
102,-2.47708,-3.03036,-3.82569,-3.28685
103,-2.01083,-3.1514,-3.87021,-3.22045
104,-2.8454,-2.84292,-3.68901,-2.94465
105,-2.36009,-3.15989,-3.95269,-2.77652
106,-2.74741,-2.97003,-3.77686,-3.13314
107,-2.62018,-2.9296,-3.88833,-3.2679
108,-2.05934,-3.22997,-3.6638,-3.33811
109,-2.12025,-3.07479,-3.94531,-3.07495
110,-1.98341,-3.05371,-3.88945,-3.04022
111,-2.03798,-3.06203,-3.8587,-3.13036
112,-2.20912,-2.99148,-3.8243,-3.09727
113,-2.28183,-2.96035,-3.8438,-2.95888
114,-2.03376,-2.9199,-3.85205,-3.17155
115,-2.54922,-3.06469,-3.7331,-3.02643
116,-2.59789,-3.03677,-3.58838,-3.21195
117,-2.53179,-3.06497,-3.67198,-3.20796
118,-2.1747,-2.9466,-3.91162,-3.17451
119,-2.48462,-2.91292,-3.72184,-3.17234
120,-1.74878,-3.17483,-3.8645,-3.33159
121,-2.13771,-3.09553,-3.80127,-3.12742
122,-2.1334,-3.0616,-3.75461,-3.20856
123,-1.96144,-3.11116,-3.81824,-3.31903
124,-2.58354,-3.00268,-3.74681,-2.95555
125,-2.5909,-3.03025,-3.73327,-3.02825
126,-2.55101,-2.87478,-3.81862,-3.01168
127,-2.98722,-3.06947,-3.59883,-2.98633
128,-2.90193,-3.13679,-3.58513,-3.00849
129,-2.47504,-2.97186,-3.93764,-3.0541
130,-2.36261,-2.90603,-3.67922,-3.35481
131,-2.68764,-2.82276,-3.64262,-3.1088
132,-2.36826,-3.04847,-3.66684,-3.14411
133,-2.44572,-2.93874,-3.84866,-3.06836
134,-2.49437,-2.94457,-3.84434,-3.07797
135,-2.37653,-3.15741,-3.68313,-3.26979
136,-2.48952,-3.19512,-3.55028,-3.27119
137,-2.46109,-2.87306,-4.00491,-3.15567
138,-2.3507,-3.10226,-3.6394,-3.214
139,-2.56581,-2.84613,-3.90679,-3.06658
140,-2.01322,-3.15893,-3.64026,-3.15991
141,-2.68946,-2.87493,-3.83843,-3.18736
142,-2.07468,-2.96425,-3.78,-3.29758
143,-2.38021,-3.03459,-3.81552,-2.96281
144,-1.78008,-3.10373,-3.80266,-3.13621
145,-2.076,-3.15675,-3.63097,-3.09469
146,-1.97157,-3.14641,-3.73752,-3.15091
147,-2.55806,-2.92839,-3.65555,-3.14779
148,-2.31931,-3.07735,-3.80556,-3.00376
149,-1.98622,-3.1447,-3.8566,-3.03333
150,-1.92679,-3.15301,-3.90368,-2.89303
151,-1.95257,-2.9719,-3.80305,-3.63335
152,-2.27669,-3.06092,-3.86531,-2.65973
153,-2.33558,-2.91988,-3.66467,-3.5772
154,-2.18333,-3.1755,-3.79958,-2.84605
155,-2.14055,-3.051,-3.92198,-2.97695
156,-2.53572,-2.90493,-3.71516,-3.18656
157,-2.37895,-2.79012,-3.82703,-3.11986
158,-2.12383,-2.93076,-3.81674,-3.06189
159,-2.13618,-2.99032,-3.80597,-3.1758
160,-2.56513,-2.92505,-3.67854,-3.10025
161,-2.92393,-2.82054,-3.46248,-3.12652
162,-2.40474,-3.15019,-3.46511,-3.28288
163,-1.99894,-2.91229,-3.84981,-3.22867
164,-2.26378,-3.26582,-3.73441,-2.9158
165,-2.43207,-2.58309,-3.90407,-3.4746
166,-2.08912,-2.80208,-3.99156,-3.17777
167,-2.56436,-3.17103,-3.67834,-3.21939
168,-2.43197,-2.93128,-3.98937,-3.17389
169,-2.19259,-3.15206,-3.73966,-3.2078
170,-2.53521,-3.07402,-3.6931,-3.01363
