,intercetta,età_madri,inatt_donne,inatt_uomini,occup_donne,occup_uomini
0,0.290649,-0.348896,0.259485,-0.163047,0.355471,0.054025
1,0.583151,-0.314195,0.139011,-0.179414,0.290207,-0.0481316
2,0.558966,-0.387494,0.146763,-0.0792137,0.28391,0.14679
3,0.378932,-0.307324,0.220531,-0.279069,0.339125,-0.12378
4,0.383437,-0.3335,0.25537,-0.263066,0.343993,-0.0717428
5,0.338589,-0.355349,0.104451,-0.112657,0.327293,0.0415696
6,0.281944,-0.270939,0.277796,-0.170925,0.428266,0.0263626
7,0.534189,-0.349182,0.159417,-0.12653,0.221227,0.0540069
8,0.524427,-0.29776,0.127833,-0.0932851,0.158996,0.0976667
9,0.506387,-0.331313,0.0545403,-0.0823705,0.116526,0.135166
10,0.411939,-0.326602,-0.0280675,-0.0274218,0.122196,0.124084
11,0.430849,-0.311592,0.0974801,-0.169355,0.103892,0.0734141
12,0.622703,-0.319363,-0.033456,-0.0615474,0.135439,0.068279
13,0.6174,-0.3307,0.0592781,-0.138478,0.203423,0.0827782
14,0.54671,-0.377989,0.194266,-0.122381,0.303305,0.0636685
15,0.368834,-0.33501,0.0968385,-0.0771087,0.209313,0.0963986
16,0.367288,-0.339819,0.0789286,-0.133936,0.252858,-0.0136524
17,0.305112,-0.353794,0.219148,-0.183098,0.36802,-0.0650728
18,0.441077,-0.340131,0.24847,-0.144434,0.397984,0.0568458
19,0.536982,-0.317604,0.129555,-0.231838,0.256832,-0.0515064
20,0.614547,-0.313435,0.0356063,-0.199951,0.146347,-0.0496589
21,0.618733,-0.275105,0.0837765,-0.240637,0.192089,-0.0583735
22,0.598804,-0.29222,0.0322219,-0.105973,0.110056,0.0998636
23,0.533297,-0.308284,0.179102,-0.123489,0.246158,0.0864166
24,0.456959,-0.306026,0.115457,-0.0637881,0.23518,0.151139
25,0.488001,-0.310604,0.118457,-0.130517,0.204718,0.0757112
26,0.511001,-0.310029,0.134301,-0.125522,0.186637,0.120226
27,0.410143,-0.348373,0.254481,-0.141264,0.3172,0.124721
28,0.406828,-0.348763,0.0617186,-0.156919,0.208157,-0.0243162
29,0.476216,-0.303366,0.135703,-0.117957,0.169512,0.0766688
30,0.540365,-0.291551,0.20408,-0.17824,0.400969,-0.0287035
31,0.602946,-0.31205,0.199887,-0.171177,0.360641,-0.0561611
32,0.41294,-0.342448,0.256677,-0.122022,0.408781,0.0380023
33,0.506171,-0.340367,0.13514,-0.0946353,0.186838,0.0722128
34,0.523589,-0.315745,0.232954,-0.0495381,0.347143,0.0805491
35,0.536244,-0.31417,0.233429,-0.0299973,0.425094,0.100445
36,0.487229,-0.293828,0.234361,-0.101669,0.365139,0.0572724
37,0.553639,-0.332015,0.0179845,-0.0873252,0.114466,0.13981
38,0.356699,-0.28671,0.176496,-0.0996994,0.395586,0.0355228
39,0.479708,-0.352173,0.0053407,-0.0674397,0.0618729,0.176177
40,0.584157,-0.362635,-0.0676951,-0.0980028,0.0356805,0.0661611
41,0.519356,-0.299861,0.0996929,-0.106808,0.316539,0.0351924
42,0.610971,-0.373107,0.103802,-0.157825,0.193609,0.0333585
43,0.442574,-0.34729,0.067473,-0.0807718,0.198092,0.128698
44,0.326039,-0.347119,0.256743,-0.19505,0.387495,-0.0607156
45,0.352995,-0.35481,0.194392,-0.153953,0.253963,0.0879747
46,0.323672,-0.356376,0.0766798,-0.0979582,0.207011,0.105756
47,0.141528,-0.371277,0.556044,-0.15845,0.683427,0.0545749
48,0.234892,-0.361572,0.376892,-0.104374,0.561381,0.0327805
49,0.323938,-0.333184,0.207118,-0.164913,0.331994,0.07251
50,0.339573,-0.348462,0.252131,-0.112399,0.394661,0.0569932
51,0.401645,-0.353582,0.0779626,-0.160232,0.22858,0.0162052
52,0.344847,-0.340049,0.283699,-0.155966,0.386215,0.0614645
53,0.462067,-0.302531,0.086312,-0.10603,0.0870756,0.175373
54,0.395053,-0.325928,0.0251678,-0.0964436,0.13362,0.115292
55,0.409028,-0.359242,-0.0121736,-0.0929532,0.0488223,0.166442
56,0.556665,-0.296623,-0.0776369,-0.0654505,0.0537284,0.157194
57,0.452751,-0.272516,0.104972,-0.0800795,0.139422,0.109913
58,0.491507,-0.369032,0.171498,-0.160735,0.3106,0.0185175
59,0.485723,-0.341804,0.403558,-0.19719,0.59528,-0.0400184
60,0.359996,-0.358464,-0.000269636,-0.125415,0.115356,0.107182
61,0.421043,-0.364207,0.0401299,-0.164614,0.178346,0.039487
62,0.343194,-0.317851,0.102896,-0.0743163,0.199742,0.195507
63,0.384588,-0.334821,-0.0210388,-0.0290259,0.109763,0.106758
64,0.600288,-0.346678,0.357636,-0.188431,0.500603,0.0300312
65,0.633702,-0.304196,0.335311,-0.219565,0.476068,0.0327841
66,0.505672,-0.335151,0.145463,-0.154049,0.33629,0.00204153
