,X0,X1,X2,X3
0,-0.536372,-1.05697,-2.18728,-0.415607
1,-0.435278,-1.04309,-2.31788,-0.541288
2,-0.873039,-0.978875,-2.25751,-0.49918
3,-0.650071,-0.986304,-2.28494,-0.527252
4,-0.307724,-1.14774,-2.17558,-0.552507
5,-1.04832,-0.957918,-2.24635,-0.475533
6,-0.530271,-1.09476,-2.21894,-0.533934
7,-0.522492,-1.08384,-2.21337,-0.500467
8,-0.789862,-1.06111,-2.18093,-0.526189
9,-0.394948,-1.07858,-2.22645,-0.537217
10,-0.453294,-1.07322,-2.24775,-0.606988
11,-0.622623,-1.04389,-2.224,-0.447118
12,-0.568302,-1.00983,-2.23031,-0.495368
13,-0.4148,-1.0389,-2.26725,-0.557508
14,-0.428053,-1.03956,-2.23822,-0.52595
15,-0.864644,-1.13415,-2.25722,-0.567069
16,-0.506715,-1.0033,-2.15465,-0.68039
17,-0.411123,-1.09997,-2.31147,-0.508223
18,-0.379265,-1.02792,-2.23643,-0.588432
19,-0.462382,-1.11674,-2.32025,-0.456112
20,-0.34642,-1.09666,-2.22905,-0.599479
21,-0.719806,-0.985233,-2.24124,-0.567472
22,-0.157403,-1.08016,-2.33558,-0.606265
23,-1.01606,-1.01718,-2.10553,-0.382234
24,-0.670622,-1.07245,-2.2646,-0.593119
25,-0.836443,-0.996114,-2.19724,-0.473813
26,-0.555352,-1.11584,-2.2142,-0.587481
27,-0.887066,-1.01269,-2.2137,-0.521352
28,-0.62984,-1.09833,-2.26435,-0.546313
29,-0.512282,-1.03996,-2.20013,-0.545421
30,-0.656687,-1.07348,-2.26927,-0.472634
31,-0.722152,-1.04731,-2.27532,-0.443816
32,-0.501825,-1.07219,-2.29417,-0.510089
33,-0.438176,-1.04125,-2.30659,-0.57965
34,-0.327714,-0.993708,-2.22065,-0.578473
35,-0.532717,-1.10604,-2.2896,-0.529513
36,-0.411985,-1.0995,-2.29436,-0.48899
37,-0.269627,-1.03203,-2.22862,-0.524139
38,-0.434605,-1.05501,-2.20949,-0.575561
39,-0.59163,-1.07922,-2.24898,-0.536074
40,-0.440088,-1.06564,-2.27678,-0.581825
41,-0.541275,-1.08105,-2.26039,-0.479033
42,-0.674956,-1.05477,-2.28466,-0.528549
43,-0.602347,-1.06796,-2.23403,-0.542971
44,-0.359133,-1.03888,-2.28364,-0.513458
45,-0.494939,-1.09972,-2.22721,-0.646426
46,-0.541392,-1.0371,-2.25639,-0.558861
47,-0.813581,-0.982938,-2.19911,-0.499434
48,-0.362571,-1.12295,-2.22202,-0.572036
49,-0.532759,-1.1095,-2.16133,-0.523078
50,0.122728,-0.999876,-2.3666,-0.560571
51,-0.864354,-1.14594,-2.12492,-0.559222
52,-0.627749,-1.09704,-2.11287,-0.508168
53,-0.448643,-1.05736,-2.21486,-0.60845
54,-0.644737,-1.0948,-2.25524,-0.605193
55,-0.376339,-1.12192,-2.21011,-0.56923
56,-0.331058,-1.08505,-2.30406,-0.572707
57,-0.138172,-1.09878,-2.27523,-0.61793
58,-0.28068,-1.06623,-2.22675,-0.608515
59,-0.345946,-1.13143,-2.1794,-0.594381
60,-0.314177,-1.11738,-2.18675,-0.606108
61,-0.595529,-1.03968,-2.25542,-0.498627
62,-0.779063,-1.0203,-2.24611,-0.463333
63,-0.576965,-1.09759,-2.28368,-0.46346
64,-0.552674,-1.05717,-2.20272,-0.610253
65,-0.674081,-1.02442,-2.21142,-0.530039
66,-0.509641,-0.990196,-2.36727,-0.648637
67,-0.541398,-1.16892,-2.08958,-0.45441
68,-0.349251,-0.980799,-2.40082,-0.644578
69,-0.508043,-1.12006,-2.27634,-0.447367
70,-0.511065,-0.972723,-2.19131,-0.648201
71,-0.352694,-1.10451,-2.31788,-0.489041
72,-0.691872,-1.00668,-2.09826,-0.658867
73,-0.642237,-1.04144,-2.09019,-0.660282
74,-0.609504,-1.03878,-2.10088,-0.639925
75,-0.579062,-1.07377,-2.17964,-0.642813
76,-0.577581,-1.058,-2.26447,-0.478342
77,-0.290948,-1.11381,-2.28966,-0.516988
78,-0.10745,-1.19637,-2.28728,-0.568891
79,-0.65566,-0.97571,-2.24145,-0.611456
80,-0.548133,-0.961238,-2.24871,-0.545601
81,-0.270793,-1.15145,-2.21909,-0.567182
82,-0.359683,-1.03747,-2.32499,-0.548626
83,-0.297747,-1.0777,-2.23648,-0.535457
84,-0.12509,-1.11094,-2.27236,-0.639359
85,-0.60031,-1.00952,-2.20579,-0.449033
86,-0.715986,-0.992955,-2.21631,-0.499371
87,-0.495275,-1.04506,-2.12519,-0.687307
88,-0.406223,-1.11676,-2.2297,-0.673872
89,-0.302456,-1.13267,-2.2404,-0.598828
90,-0.732084,-1.03526,-2.19858,-0.506052
91,-0.710767,-1.0561,-2.15617,-0.531847
92,-0.672599,-1.04023,-2.15895,-0.511656
