,X0,X1,X2,X3
0,1.84094,2.21863,3.18649,2.89845
1,1.53144,2.13834,3.23571,2.95638
2,1.57164,2.0277,3.13398,2.79596
3,1.7223,2.04516,3.20346,2.90855
4,2.08402,2.16913,3.10443,2.94268
5,1.33162,2.00501,3.27824,2.85172
6,1.67929,2.0134,3.18502,2.93868
7,1.77754,2.08529,3.12605,2.91287
8,1.87553,1.99998,3.14439,2.82164
9,2.13975,1.94004,3.11558,2.82933
10,1.7609,2.01591,3.10825,2.83921
11,1.69643,2.17841,3.14886,2.88269
12,1.80775,2.08804,3.19359,2.95863
13,1.93128,2.06589,3.22437,2.81487
14,1.9337,2.01101,3.09139,2.97412
15,1.27492,2.11763,3.14834,2.96563
16,1.89927,2.01514,3.14344,2.91976
17,1.83868,2.20448,3.16275,2.80496
18,1.7342,2.142,3.2066,2.87904
19,1.9418,2.11462,3.13691,2.95295
20,1.83179,1.95026,3.25753,2.76184
21,1.56413,2.04229,3.04839,3.17271
22,2.0129,2.04235,3.25511,2.74557
23,1.90631,2.27706,2.88462,2.95952
24,1.71864,1.91937,3.16609,2.85992
25,1.57061,2.12509,3.23539,2.94679
26,1.6111,2.02257,3.09409,2.77891
27,1.56562,2.15694,3.18241,2.97055
28,1.63258,2.11764,3.16372,2.9617
29,1.62371,2.15121,3.2568,2.77499
30,1.71586,1.93833,3.20944,2.96974
31,1.70415,1.89879,3.25648,2.94227
32,1.6923,2.11056,3.07877,3.06756
33,1.68923,2.08273,3.0474,3.04129
34,2.02963,2.07152,3.26664,2.82126
35,2.04251,2.00355,3.04661,2.90965
36,2.15616,1.96768,3.0497,2.88936
37,2.11604,2.06171,3.14818,2.90773
38,1.78844,2.19038,3.23548,2.91701
39,2.04741,2.12843,3.17645,2.88622
40,1.73936,2.04854,3.03065,2.77401
41,1.83616,2.02263,3.23996,3.09052
42,1.992,2.04978,3.17617,2.89489
43,1.78014,2.09646,3.10546,2.80158
44,1.78937,2.09803,3.15897,2.95802
45,1.63282,2.04129,3.13606,2.97832
46,1.12967,2.22926,3.2044,2.96287
47,1.73907,2.03196,3.18046,2.87354
48,1.61463,2.05463,3.1806,3.08618
49,1.8859,1.93907,3.1537,2.90858
50,2.32306,2.10035,3.09817,2.87922
